AGE,SEX,SAT,HS_GPA,BAT,CRT,Grade
18.3,M,650,3.34,22,NA,3.7
19.2,M,630,3.36,17,NA,2.3
17.8,M,530,3.5,14,NA,3
18.1,F,540,4,22,13,4
18.4,M,620,3.19,19,NA,2.7
18,F,570,3.83,17,9,3.7
18.7,M,570,3.45,17,NA,3
18.4,M,550,3.13,19,NA,2
18.6,F,510,3.48,20,NA,2
18.3,M,370,3.79,6,NA,0
18.1,M,610,3.31,22,NA,2
18.1,M,510,3.17,21,NA,2
18.1,M,610,3.43,23,NA,2.3
18.1,M,570,3.23,20,NA,3
18.4,M,620,3.8,20,NA,4
18.3,F,520,3.57,21,16,2.3
18.5,F,420,3.78,19,NA,1
19,M,600,3.56,NA,NA,4
18.6,M,470,3.73,22,NA,3
18.2,F,580,3.72,21,20,3.7
18,M,700,3.62,22,NA,3
19.9,M,540,3.51,24,2,2.7
18.9,M,620,3.71,17,NA,2
18.6,F,620,3.5,25,NA,3
18.3,F,570,3.86,15,NA,2
18.4,M,610,3.77,21,NA,3.7
17.9,F,560,3.42,9,NA,2
18.1,F,530,3.55,22,NA,3
18.2,F,570,4.01,23,20,4
18.3,M,550,3.57,25,NA,2
17.9,F,650,4.2,22,NA,4
18.6,F,450,3.61,19,NA,2
17.8,F,650,4.34,22,NA,4
18.7,M,500,3.34,20,NA,2
17.9,M,510,2.9,16,NA,1
18.5,F,560,4.05,19,NA,4
18.1,M,490,3.2,14,NA,0
18.3,F,490,3.44,14,NA,0
18.3,M,490,3.5,20,NA,2
18.3,M,470,4,13,NA,2
18.7,M,570,3.11,14,NA,1
18.3,F,710,3.85,23,NA,0
18.9,M,600,3.05,17,10,0
18.7,F,520,3.6,19,NA,3.3
18.2,M,630,3.88,18,NA,4
18.4,M,540,3.65,20,NA,2.3
19.1,F,550,3.38,18,NA,3.3
19.9,M,650,3.07,21,16,0
18.3,M,650,3.2,8,NA,0
17.9,F,530,3.5,21,17,3.3
18.4,M,570,3.68,18,NA,2.7
18.8,M,560,3.56,18,NA,2
18.4,M,530,3.66,24,NA,2.3
18.8,F,500,3.44,11,NA,2.3
18.1,F,510,3.33,17,NA,3
